River,Area (km²),Relief (km),Temp (°C),Q (km³/yr),Q (m³/s),Runoff (m/yr),Qs (MT/yr),Yield (T/km²/yr),Glacier area (%),Lithology,1-TE,Erosion
Fly (Papua New Guinea),"64,413.00",4.00,25.00,179.00,"5,676.00",2.78,79.60,"1,235.00",0.00,1.50,1.00,1.00
Fraser,"217,504.00",3.96,2.20,112.30,"3,560.00",0.52,20.00,92.00,3.00,2.00,0.90,1.00
Ganges,"1,628,405.00",6.09,17.00,996.50,"31,600.00",0.61,"1,099.70",675.00,1.00,2.00,0.70,2.00
Garonne,"57,980.00",2.99,12.00,16.90,536.00,0.29,2.20,38.00,0.00,1.00,1.00,0.30
Godavari,"312,575.00",1.06,27.00,83.60,"2,650.00",0.27,170.00,544.00,0.00,1.50,1.00,2.00
Goksu (Turkey),"8,920.00",2.44,10.10,2.50,79.00,0.28,2.60,286.00,0.00,1.00,1.00,1.00
Grande (Puerto Rico),230.00,0.75,24.10,0.50,15.00,2.00,0.40,"1,782.00",0.00,2.00,1.00,1.00
Gurabo (Puerto Rico),160.00,0.75,25.90,0.20,8.00,1.50,0.30,"1,577.00",0.00,1.50,1.00,1.00
Haast (New Zealand),930.00,3.10,1.70,6.00,189.00,6.41,5.90,"6,307.00",25.00,1.50,1.00,2.00
Han,"19,652.00",1.38,10.00,16.90,536.00,0.86,10.00,509.00,0.00,1.50,0.50,1.00
Hanjang,"25,365.00",1.42,21.00,25.90,820.00,1.02,23.80,940.00,0.00,1.50,1.00,2.00
Harsit (Turkey),"2,600.00",2.20,8.00,0.80,25.00,0.30,0.50,199.00,0.00,1.00,1.00,1.00
Haughton (Australia),"3,600.00",1.20,24.50,0.80,25.00,0.22,0.40,114.00,0.00,0.50,1.00,1.00
Hawkesbury (Australia),"10,000.00",1.73,16.50,2.80,88.00,0.13,1.50,67.00,0.00,0.50,1.00,1.00
Herbert (Australia),"10,000.00",1.30,24.60,4.90,154.00,0.49,1.60,161.00,0.00,0.50,1.00,1.00
Hii (Japan),920.00,1.27,14.30,1.10,35.00,1.20,0.40,480.00,0.00,2.00,0.50,1.00
Hokitika (New Zealand),"1,350.00",2.40,3.10,3.10,98.00,2.29,6.00,"4,438.00",8.00,2.00,1.00,5.00
Homathko (Canada),"5,700.00",3.99,2.10,8.00,253.00,1.40,4.30,752.00,13.00,2.00,1.00,1.00
Houlung (Hou-Long ; Taiwan),540.00,2.58,16.50,0.90,28.00,1.64,4.30,"7,942.00",0.00,2.00,1.00,2.00
Hsuiuluan (Siou-Gu-Luan ; Taiwan),"1,539.00",3.60,18.30,4.20,132.00,2.70,19.90,"12,930.00",0.00,2.00,1.00,2.00
Huai,"264,000.00",1.70,14.00,2.10,66.00,0.01,13.90,53.00,0.00,2.00,1.00,1.00
Hualien (Taiwan),"1,506.00",4.06,19.20,3.80,120.00,2.51,20.00,"13,276.00",0.00,2.00,1.00,2.00
Huang,"865,000.00",5.90,10.00,46.70,"1,480.00",0.05,"1,100.60","1,272.00",0.00,3.00,1.00,2.00
Hudson,"43,252.00",1.17,8.00,14.90,473.00,0.34,1.00,23.00,0.00,1.00,0.70,0.30
Hunter,"22,000.00",1.70,13.40,1.80,57.00,0.08,11.00,499.00,0.00,2.00,1.00,1.00
Indigirka,"360,216.00",2.81,-13.60,54.70,"1,734.00",0.15,10.90,30.00,1.00,2.00,1.00,1.00
Indus,"941,101.00",5.18,15.00,100.00,"3,171.00",0.11,248.60,264.00,1.00,2.00,0.40,2.00
Irrawaddy,"405,963.00",4.80,22.00,427.60,"13,560.00",1.05,258.60,637.00,1.00,1.00,1.00,1.00
Ishikari (Japan),"13,000.00",2.29,5.10,13.30,421.00,1.02,1.70,131.00,0.00,2.00,0.50,1.00
Isser (Algeria),"3,600.00",1.60,15.40,0.40,11.00,0.10,8.30,"2,304.00",0.00,2.00,1.00,2.00
Jardine (Australia),"3,300.00",0.20,27.90,2.20,69.00,0.66,0.80,229.00,0.00,2.00,1.00,1.00
Jeannie (Australia),"3,800.00",0.30,26.40,2.40,76.00,0.63,1.00,266.00,0.00,2.00,1.00,1.00
Johnson (Australia),"2,300.00",0.20,27.90,4.70,150.00,2.06,1.90,823.00,0.00,2.00,1.00,1.00
Kali Brantas (India),"8,500.00",3.65,19.60,34.00,"1,078.00",4.00,8.10,954.00,0.00,1.00,0.50,1.00
Kaoping (Gao-Ping; Taiwan),"3,076.00",4.10,20.50,8.80,278.00,2.85,20.20,"6,561.00",0.00,1.50,1.00,2.00
Karamea (New Zealand),"1,200.00",1.23,8.70,3.20,101.00,2.65,0.10,124.00,0.00,1.50,1.00,2.00
Kabir Ouest (Algeria),"1,100.00",1.50,15.60,0.20,7.00,0.20,0.20,201.00,0.00,1.50,1.00,1.00
Kemijoki,"52,595.00",0.74,0.00,16.90,536.00,0.32,1.00,4.00,0.00,0.50,1.00,1.00
Khatanga,"370,353.00",1.63,-14.00,84.80,"2,690.00",0.23,1.70,5.00,0.00,0.75,0.70,1.00
Kizil,"109,687.00",3.02,9.00,7.50,239.00,0.07,16.90,154.00,0.00,2.00,1.00,1.00
Klamath (USA),"27,197.00",2.48,7.00,14.90,473.00,0.55,9.90,365.00,0.00,2.00,1.00,1.00
Klinaklini (Canada),"6,500.00",3.80,2.40,10.40,330.00,1.60,5.00,767.00,15.00,2.00,1.00,1.00
Kolan (Australia),"3,000.00",0.90,24.10,0.50,16.00,0.17,0.30,100.00,0.00,0.50,1.00,1.00
Kolyma,"640,648.00",1.83,-11.00,119.30,"3,784.00",0.19,5.90,9.00,0.00,1.50,0.80,1.00
Krishna,"258,684.00",1.33,24.00,59.60,"1,890.00",0.23,64.00,247.00,0.00,1.00,1.00,2.00
Kuban,"63,890.00",5.48,8.00,13.00,411.00,0.20,8.30,130.00,0.00,0.50,1.00,1.00
Kura,"218,906.00",4.72,6.00,18.00,570.00,0.08,36.90,169.00,0.00,2.00,1.00,1.00
Kuskokwim,"115,809.00",2.46,-6.00,59.70,"1,892.00",0.52,8.20,71.00,5.00,2.00,1.00,1.00
Kymijoki-2,"35,932.00",0.12,3.00,11.90,378.00,0.33,0.10,1.00,0.00,0.50,0.70,1.00
Lanyang (Taiwan),980.00,3.50,19.60,2.80,88.00,2.83,8.00,"8,174.00",0.00,2.00,1.00,2.00
Lena,"2,441,816.00",2.53,-12.50,517.20,"16,400.00",0.21,19.90,8.00,0.10,1.50,0.80,1.00
Liao,"274,053.00",1.92,5.00,32.50,"1,032.00",0.12,40.80,149.00,0.00,1.50,1.00,2.00
Limpopo,"380,337.00",2.30,21.00,26.30,835.00,0.07,33.10,87.00,0.00,1.00,1.00,2.00
Linpian (Taiwan),340.00,2.88,19.00,0.90,27.00,2.50,1.80,"5,287.00",0.00,2.00,1.00,2.00
